2024-04-23 20:03:26,308 - Episode: 1/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:03:29,213 - Episode: 2/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:03:31,147 - Episode: 3/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:03:33,218 - Episode: 4/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:03:35,206 - Episode: 5/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:03:37,234 - Episode: 6/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-23 20:03:39,455 - Episode: 7/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-23 20:03:41,524 - Episode: 8/1000, Total Reward: -8.100000000000001, Accuracy: 0.00
2024-04-23 20:03:43,720 - Episode: 9/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:03:45,885 - Episode: 10/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:03:48,117 - Episode: 11/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:03:50,367 - Episode: 12/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:03:52,616 - Episode: 13/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-23 20:03:54,929 - Episode: 14/1000, Total Reward: -2.7, Accuracy: 0.00
2024-04-23 20:03:57,175 - Episode: 15/1000, Total Reward: -4.6000000000000005, Accuracy: 0.00
2024-04-23 20:03:59,448 - Episode: 16/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:04:01,740 - Episode: 17/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:04:04,142 - Episode: 18/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:04:06,440 - Episode: 19/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:04:08,861 - Episode: 20/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:04:11,179 - Episode: 21/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:04:13,692 - Episode: 22/1000, Total Reward: -4.800000000000001, Accuracy: 0.00
2024-04-23 20:04:16,123 - Episode: 23/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:04:18,380 - Episode: 24/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-23 20:04:20,872 - Episode: 25/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:04:23,402 - Episode: 26/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:04:25,897 - Episode: 27/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:04:28,350 - Episode: 28/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:04:30,869 - Episode: 29/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:04:33,187 - Episode: 30/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-23 20:04:35,699 - Episode: 31/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:04:38,237 - Episode: 32/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:04:40,852 - Episode: 33/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-23 20:04:43,595 - Episode: 34/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:04:46,330 - Episode: 35/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:04:48,929 - Episode: 36/1000, Total Reward: -4.5, Accuracy: 0.00
